,Felhasznalo,Valasz
0,Hogyan gyógyítsuk a vágásokat?,vágás
1,Milyen gyógyszert kell alkalmazni a vágásoknál?,vágás
2,Mit kell alkalmazni a vágásokon?,vágás
3,Hogyan kell kezelni a horzsolásokat?,horzsolás
4,Milyen gyógyszert kell alkalmazni a horzsolásokra?,horzsolás
5,Hogyan lehet gyógyítani a horzsolásokat?,horzsolás
6,Hogyan kell kezelni egy ficamot?,ficam
7,"Mit tegyek, ha ficamot kaptam?",ficam
8,"Milyen krémet alkalmazzak, ha ficamot kapok?",ficam
9,"Milyen gyógyszert alkalmazzak, ha ficamot kapok?",ficam
10,Hogyan kezeli a torokfájást?,torok
11,"mit tegyek, ha fáj a torkom?",torok
12,"Milyen gyógyszert szedjek, ha torokfájásom van?",torok
13,Hogyan lehet gyógyítani a torokfájást?,torok
14,Hogyan kell kezelni egy állat harapását?,harapás
15,Hogyan kell kezelni egy kutyaharapást?,harapás
16,"Mit tegyek, ha megharap egy állat?",harapás
17,Hogyan lehet gyógyítani a kutyaharapást?,harapás
18,Megharapott egy kutya.,harapás
19,Hogyan kezelsz egy megfázást?,megfáz
20,"mit tegyek, ha enyhe megfázást kapok?",megfáz
21,Hogyan gyógyítsuk a megfázást?,megfáz
22,Hogyan kell kezelni a vérzést?,vérzés
23,"Mit tegyek, ha vérzek?",vérzés
24,Hogyan állítsak el egy vérzést?,vérzés
25,Hogyan gyógyítható a vérzés?,vérzés
26,Hogyan kezeli a napégést?,leég
27,"mit tegyek, ha leégek a napon?",leég
28,"Milyen gyógyszert szedjek, ha napégést kapok?",leég
29,Hogyan lehet gyógyítani a napégést?,leég
30,orrdugulás,orrdugulás
31,orrdugulásom van,orrdugulás
32,eldugult az orrom,orrdugulás
33,nem kapok levegőt éjszaka,orrdugulás
34,problémám van a légzéssel alvás közben,orrdugulás
35,orrdugulás,orrdugulás
36,az orrjárat eltömődött a váladéktól,orrdugulás
37,nyálkától eltömődött orrlyuk,orrdugulás
38,eldugult orrlyuk,orrdugulás
39,légzési nehézséget okozó orr,orrdugulás
40,csökkent szaglás és szaglás,orrdugulás
41,orrfolyás,megfáz
42,orrdugulásom van,orrdugulás
43,duzzadt orrszövet,megfáz
44,orrdugulás,orrdugulás
45,orrdugulásom van,orrdugulás
46,eldugult az orrom,megfáz
47,nem kapok levegőt éjszaka,megfáz
48,problémám van a légzéssel alvás közben,megfáz
49,orrdugulás,orrdugulás
50,az orrjárat eltömődött a váladéktól,megfáz
51,nyálkától eltömődött,megfáz
52,eldugult orrlyuk,megfáz
53,légzési nehézséget okozó orr,megfáz
54,csökkent szaglás és szaglás,megfáz
55,orrfolyás,megfáz
56,orrdugulásom van,megfáz
57,duzzadt orrszövet,megfáz
58,Folyik az orrom.,megfáz
59,Megfáztam.,megfáz
60,Nagyon fázom.,láz
61,Megfáztam és köhögök.,láz
62,Fázom.,láz
63,Lázam van és fázom.,láz
64,Lázam van és fázom.,láz
65,Lázam van és fázom.,láz
66,Lázam van és fázom.,láz
67,Lázam van és fázom.,láz
68,Lázas vagyok.,láz
69,Lázas vagyok.,láz
70,Fázom.,láz
71,Fázom.,láz
72,Fázom.,láz
73,Fázom.,láz
74,Folyik az orrom.,láz
75,Az orrom eldugult és viszket.,láz
